ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
10497,Male,Yes,33,No,Engineer,0.0,Average,2.0,Cat_6,B
5748,Female,No,42,Yes,Doctor,5.0,Low,1.0,Cat_6,B
4228,Male,Yes,80,No,Executive,0.0,High,2.0,Cat_6,A
10369,Female,Yes,66,Yes,Artist,0.0,Average,3.0,Cat_6,C
10442,Female,Yes,39,Yes,Healthcare,8.0,High,2.0,Cat_1,D
3043,Male,Yes,60,No,Artist,1.0,High,4.0,Cat_3,B
3813,Male,No,21,No,Healthcare,0.0,Low,2.0,Cat_6,D
8041,Male,Yes,67,No,Artist,1.0,Average,2.0,Cat_6,B
6879,Male,Yes,50,Yes,Entertainment,,Low,4.0,Cat_6,D
4310,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
8186,Male,Yes,61,No,Executive,1.0,Average,3.0,Cat_6,B
8740,Female,No,20,No,Healthcare,,Low,4.0,Cat_1,D
3263,Male,Yes,40,Yes,Entertainment,8.0,Average,2.0,Cat_6,B
7177,Male,Yes,30,No,Entertainment,1.0,Average,3.0,Cat_3,A
5082,Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_3,B
1356,Male,No,20,No,Healthcare,6.0,Low,3.0,Cat_6,D
9186,Male,Yes,57,Yes,Artist,,Low,1.0,Cat_6,D
1491,Female,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,C
6730,Male,No,53,Yes,Artist,2.0,Low,1.0,Cat_6,A
6328,Male,No,20,No,Marketing,0.0,Low,2.0,Cat_6,D
8460,Male,Yes,79,No,Lawyer,9.0,Low,3.0,Cat_6,D
8180,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C
9680,Female,No,27,No,Artist,,Low,4.0,Cat_4,D
5767,Female,No,35,Yes,Artist,0.0,Low,3.0,Cat_6,A
2053,Female,Yes,60,Yes,Artist,1.0,High,4.0,Cat_6,C
4223,Male,Yes,59,Yes,Artist,1.0,Average,3.0,Cat_6,C
4853,Male,No,30,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
1605,Male,No,47,Yes,Engineer,1.0,Low,2.0,Cat_6,D
1969,Male,No,23,No,Healthcare,0.0,Low,4.0,Cat_3,D
3103,Male,No,30,Yes,Healthcare,1.0,Low,4.0,Cat_6,D
6115,Male,Yes,31,Yes,Artist,1.0,Average,2.0,Cat_3,A
713,Female,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,A
2145,Male,No,42,Yes,Marketing,1.0,Low,,Cat_6,D
7316,Male,Yes,33,Yes,Doctor,10.0,Average,2.0,Cat_2,D
10263,Female,No,72,Yes,Lawyer,1.0,Low,2.0,Cat_6,D
2232,Male,No,35,Yes,Artist,1.0,Low,1.0,Cat_6,D
10407,Male,Yes,52,Yes,Executive,1.0,Low,4.0,Cat_6,C
8783,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_6,B
2343,Female,Yes,43,Yes,Artist,0.0,High,3.0,Cat_6,B
2887,Male,Yes,67,No,Lawyer,1.0,Average,2.0,Cat_6,A
9421,Male,Yes,28,Yes,Entertainment,0.0,Average,2.0,Cat_6,D
5768,Male,Yes,43,Yes,Artist,3.0,Average,3.0,Cat_6,C
4975,Female,No,37,No,Artist,4.0,Low,2.0,Cat_6,C
3790,Male,Yes,26,Yes,Artist,,Low,2.0,Cat_6,D
7625,Male,Yes,77,Yes,Lawyer,0.0,Low,2.0,Cat_3,C
4275,Male,No,30,No,Executive,,Low,4.0,Cat_6,D
10389,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
4729,Male,No,19,No,Healthcare,5.0,Low,4.0,Cat_2,D
500,Female,Yes,80,Yes,Lawyer,,High,2.0,Cat_6,A
7619,Male,Yes,37,Yes,Artist,1.0,High,,Cat_6,B
9360,Male,Yes,59,Yes,Artist,0.0,Low,2.0,Cat_6,A
4127,Female,Yes,84,Yes,Lawyer,0.0,Low,,Cat_3,A
4761,Female,Yes,29,Yes,Artist,9.0,Low,3.0,Cat_6,A
6224,Female,No,38,Yes,Marketing,9.0,Low,4.0,Cat_5,D
6930,Male,No,42,Yes,Doctor,8.0,Low,1.0,Cat_6,C
307,Female,No,46,Yes,Artist,1.0,Low,2.0,,B
5492,Male,Yes,27,Yes,Entertainment,9.0,Low,4.0,Cat_6,C
5647,Female,No,36,Yes,Artist,1.0,Low,4.0,Cat_2,C
4022,Female,Yes,58,Yes,Artist,1.0,Average,2.0,Cat_6,C
2980,Male,Yes,27,Yes,Artist,9.0,Average,2.0,Cat_6,D
2952,Male,Yes,43,Yes,Artist,8.0,Low,1.0,Cat_6,B
8015,Male,No,29,No,Healthcare,9.0,Low,4.0,Cat_3,D
9507,Female,Yes,36,Yes,Doctor,13.0,Low,2.0,Cat_6,B
7382,Male,No,35,No,Marketing,0.0,Low,4.0,Cat_4,D
4772,Male,Yes,46,Yes,Artist,0.0,Low,2.0,Cat_6,C
3066,Male,Yes,50,Yes,Entertainment,0.0,Average,4.0,Cat_6,B
1316,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,C
6315,Male,Yes,43,Yes,Artist,4.0,Average,2.0,Cat_6,D
1934,Male,Yes,27,Yes,Healthcare,4.0,High,3.0,Cat_6,B
325,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,D
1958,Female,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,A
